Model,Type,Experiment,Dim,Embed Time (s),Total Time (s),Model RAM (MB),VRAM (MB),Avg Prec@5,Avg Recall@5,Avg Sim@5,Avg MRR@5,Avg nDCG@5,Overall Quality
bge-base,general,B,768,11.8,12.0,18.0,242.0,0.904,0.398,0.7375,0.484,0.988,0.7918
S-PubMedBERT,medical,B,768,12.0,12.2,11.0,240.0,0.888,0.39,0.9394,0.489,0.987,0.7881
bge-small,general,B,384,8.0,8.1,7.0,79.0,0.848,0.373,0.7659,0.501,0.986,0.7783
MedEmbed-L,medical,B,1024,30.8,31.1,21.0,680.0,0.896,0.395,0.7342,0.467,0.968,0.7767
GTE-Large,general,B,1024,26.5,26.8,15.0,680.0,0.848,0.372,0.8738,0.498,0.981,0.7756
e5-large,general,B,1024,26.2,26.5,21.0,680.0,0.856,0.376,0.8623,0.491,0.978,0.775
MiniLM-L6,general,B,384,5.9,6.0,12.0,56.0,0.848,0.374,0.6072,0.493,0.976,0.7722
Snowflake-M,general,B,768,12.0,12.1,12.0,241.0,0.872,0.387,0.4874,0.468,0.961,0.7672
PubMedBERT,medical,B,768,12.0,12.2,6.0,240.0,0.824,0.358,0.6535,0.504,0.97,0.7661
