Model,Type,Term,N_Tokens,Subwords,Has_UNK
MedEmbed-L,medical,Actinobacillus,5,act | ##ino | ##ba | ##ci | ##llus,False
MedEmbed-L,medical,Adenine,2,aden | ##ine,False
MedEmbed-L,medical,Anisomelia,4,an | ##iso | ##mel | ##ia,False
MedEmbed-L,medical,Anterograde,3,ant | ##ero | ##grade,False
MedEmbed-L,medical,Antifungal,4,anti | ##fu | ##nga | ##l,False
MedEmbed-L,medical,Armorhead,2,armor | ##head,False
MedEmbed-L,medical,Banner,1,banner,False
MedEmbed-L,medical,Boiron,3,bo | ##iro | ##n,False
MedEmbed-L,medical,Bulrush,3,bu | ##lr | ##ush,False
MedEmbed-L,medical,Calyptospora,5,cal | ##yp | ##tos | ##por | ##a,False
MedEmbed-L,medical,Circinella,4,ci | ##rc | ##ine | ##lla,False
MedEmbed-L,medical,Clupeotoxin,5,cl | ##up | ##eo | ##to | ##xin,False
MedEmbed-L,medical,Colourful,1,colourful,False
MedEmbed-L,medical,Corpus,1,corpus,False
MedEmbed-L,medical,Cryptotomus,3,crypt | ##oto | ##mus,False
MedEmbed-L,medical,Cyclamate,4,cy | ##cl | ##ama | ##te,False
MedEmbed-L,medical,Epicauta,3,epic | ##au | ##ta,False
MedEmbed-L,medical,Ethylnorgestrienone,7,et | ##hyl | ##nor | ##ges | ##tri | ##eno | ##ne,False
MedEmbed-L,medical,Fibromuscular,4,fi | ##bro | ##mus | ##cular,False
MedEmbed-L,medical,Framboesiform,4,fra | ##mbo | ##es | ##iform,False
MedEmbed-L,medical,Glaucomatocyclitic,7,g | ##lau | ##com | ##ato | ##cy | ##cl | ##itic,False
MedEmbed-L,medical,Haemoglobin,5,ha | ##em | ##og | ##lo | ##bin,False
MedEmbed-L,medical,Healed,1,healed,False
MedEmbed-L,medical,Hidradenitis,4,hid | ##rade | ##ni | ##tis,False
MedEmbed-L,medical,Hyperactivity,3,hyper | ##act | ##ivity,False
MedEmbed-L,medical,Immunofluorescence,5,im | ##mun | ##of | ##lu | ##orescence,False
MedEmbed-L,medical,Intermediary,3,inter | ##media | ##ry,False
MedEmbed-L,medical,Irrelevant,1,irrelevant,False
MedEmbed-L,medical,Ketosteroids,4,ke | ##tos | ##ter | ##oids,False
MedEmbed-L,medical,Laughter,1,laughter,False
MedEmbed-L,medical,Lissemys,4,li | ##sse | ##my | ##s,False
MedEmbed-L,medical,Loxosceles,5,lo | ##x | ##os | ##cel | ##es,False
MedEmbed-L,medical,Lycopersicon,5,l | ##y | ##cope | ##rs | ##icon,False
MedEmbed-L,medical,Malaise,2,mala | ##ise,False
MedEmbed-L,medical,Microrepair,4,micro | ##re | ##pa | ##ir,False
MedEmbed-L,medical,Migratory,1,migratory,False
MedEmbed-L,medical,Millipede,3,mill | ##ipe | ##de,False
MedEmbed-L,medical,Mycitracin,4,my | ##cit | ##rac | ##in,False
MedEmbed-L,medical,Myers,1,myers,False
MedEmbed-L,medical,Notch,1,notch,False
MedEmbed-L,medical,Notched,2,notch | ##ed,False
MedEmbed-L,medical,Oligohidrosis,4,ol | ##igo | ##hid | ##rosis,False
MedEmbed-L,medical,Paraduodenal,4,para | ##du | ##ode | ##nal,False
MedEmbed-L,medical,Phosmet,3,ph | ##os | ##met,False
MedEmbed-L,medical,Photogenic,2,photo | ##genic,False
MedEmbed-L,medical,Pneumopyopericardium,9,p | ##ne | ##um | ##op | ##yo | ##per | ##ica | ##rdi | ##um,False
MedEmbed-L,medical,Prague,1,prague,False
MedEmbed-L,medical,Repeat,1,repeat,False
MedEmbed-L,medical,Robin,1,robin,False
MedEmbed-L,medical,Rowley,2,row | ##ley,False
MedEmbed-L,medical,Rumination,2,rum | ##ination,False
MedEmbed-L,medical,Sciaenops,4,sci | ##ae | ##no | ##ps,False
MedEmbed-L,medical,Simultaneous,1,simultaneous,False
MedEmbed-L,medical,Solandra,2,sol | ##andra,False
MedEmbed-L,medical,Tamarao,2,tamara | ##o,False
MedEmbed-L,medical,Theatrical,1,theatrical,False
MedEmbed-L,medical,Thromboembolus,6,th | ##rom | ##bo | ##em | ##bol | ##us,False
MedEmbed-L,medical,Trinitrotoluene,6,tri | ##ni | ##tro | ##to | ##lu | ##ene,False
MedEmbed-L,medical,Underexerted,3,under | ##ex | ##erted,False
MedEmbed-L,medical,Ventriculopleural,5,vent | ##ric | ##ulo | ##ple | ##ural,False
