Model,Type,Term,N_Tokens,Subwords,Has_UNK
bge-small,general,Glaucomatocyclitic,7,g | ##lau | ##com | ##ato | ##cy | ##cl | ##itic,False
bge-small,general,Haemoglobin,5,ha | ##em | ##og | ##lo | ##bin,False
bge-small,general,Healed,1,healed,False
bge-small,general,Hidradenitis,4,hid | ##rade | ##ni | ##tis,False
bge-small,general,Hyperactivity,3,hyper | ##act | ##ivity,False
bge-small,general,Immunofluorescence,5,im | ##mun | ##of | ##lu | ##orescence,False
bge-small,general,Intermediary,3,inter | ##media | ##ry,False
bge-small,general,Irrelevant,1,irrelevant,False
bge-small,general,Ketosteroids,4,ke | ##tos | ##ter | ##oids,False
bge-small,general,Laughter,1,laughter,False
bge-small,general,Lissemys,4,li | ##sse | ##my | ##s,False
bge-small,general,Loxosceles,5,lo | ##x | ##os | ##cel | ##es,False
bge-small,general,Lycopersicon,5,l | ##y | ##cope | ##rs | ##icon,False
bge-small,general,Malaise,2,mala | ##ise,False
bge-small,general,Microrepair,4,micro | ##re | ##pa | ##ir,False
bge-small,general,Migratory,1,migratory,False
bge-small,general,Millipede,3,mill | ##ipe | ##de,False
bge-small,general,Mycitracin,4,my | ##cit | ##rac | ##in,False
bge-small,general,Myers,1,myers,False
bge-small,general,Notch,1,notch,False
bge-small,general,Notched,2,notch | ##ed,False
bge-small,general,Oligohidrosis,4,ol | ##igo | ##hid | ##rosis,False
bge-small,general,Paraduodenal,4,para | ##du | ##ode | ##nal,False
bge-small,general,Phosmet,3,ph | ##os | ##met,False
bge-small,general,Photogenic,2,photo | ##genic,False
bge-small,general,Pneumopyopericardium,9,p | ##ne | ##um | ##op | ##yo | ##per | ##ica | ##rdi | ##um,False
bge-small,general,Prague,1,prague,False
bge-small,general,Repeat,1,repeat,False
bge-small,general,Robin,1,robin,False
bge-small,general,Rowley,2,row | ##ley,False
bge-small,general,Rumination,2,rum | ##ination,False
bge-small,general,Sciaenops,4,sci | ##ae | ##no | ##ps,False
bge-small,general,Simultaneous,1,simultaneous,False
bge-small,general,Solandra,2,sol | ##andra,False
bge-small,general,Tamarao,2,tamara | ##o,False
bge-small,general,Theatrical,1,theatrical,False
bge-small,general,Thromboembolus,6,th | ##rom | ##bo | ##em | ##bol | ##us,False
bge-small,general,Trinitrotoluene,6,tri | ##ni | ##tro | ##to | ##lu | ##ene,False
bge-small,general,Underexerted,3,under | ##ex | ##erted,False
bge-small,general,Ventriculopleural,5,vent | ##ric | ##ulo | ##ple | ##ural,False
bge-base,general,Actinobacillus,5,act | ##ino | ##ba | ##ci | ##llus,False
bge-base,general,Adenine,2,aden | ##ine,False
bge-base,general,Anisomelia,4,an | ##iso | ##mel | ##ia,False
